batch,sim,x,y
sim37_N5,Auto6_S030W030.hist_Ks_hist_fit2.0,30,0.002193312863945862
sim37_N5,Auto4_S050W050.hist_Ks_hist_fit2.0,50,0.0013510588711423965
sim37_N5,Auto5_S040W040.hist_Ks_hist_fit2.0,40,0.0014154283526368605
sim37_N5,Auto7_S020W020.hist_Ks_hist_fit2.0,20,0.0005786669684967605
sim36_N10,Allo6_S030W010.hist_Ks_hist_fit2.0,30,0.08462596397482747
sim36_N10,Allo4_S050W040.hist_Ks_hist_fit2.0,50,0.06852459820201373
sim36_N10,Allo2_S070W020.hist_Ks_hist_fit2.0,70,0.0482218469956015
sim36_N10,Allo2_S070W060.hist_Ks_hist_fit2.0,70,0.048028794752610904
sim36_N10,Allo1_S080W060.hist_Ks_hist_fit2.0,80,0.03743776483145922
sim36_N10,Allo3_S060W040.hist_Ks_hist_fit2.0,60,0.06190910961545737
sim36_N10,Allo7_S020W015.hist_Ks_hist_fit2.0,20,0.08599977435501735
sim36_N10,Allo1_S080W075.hist_Ks_hist_fit2.0,80,-0.003239898524963869
sim36_N10,Allo1_S080W030.hist_Ks_hist_fit2.0,80,0.03484671642552706
sim36_N10,Allo2_S070W050.hist_Ks_hist_fit2.0,70,0.03677728478250364
sim36_N10,Allo4_S050W045.hist_Ks_hist_fit2.0,50,0.05478997672861474
sim36_N10,Allo7_S020W010.hist_Ks_hist_fit2.0,20,0.07772875169296331
sim36_N10,Allo6_S030W025.hist_Ks_hist_fit2.0,30,0.0799155761266177
sim36_N10,Allo5_S040W030.hist_Ks_hist_fit2.0,40,0.06062810592526591
sim36_N10,Allo4_S050W030.hist_Ks_hist_fit2.0,50,0.06580025118663113
sim36_N10,Allo3_S060W050.hist_Ks_hist_fit2.0,60,0.06037115776383917
sim36_N10,Allo5_S040W020.hist_Ks_hist_fit2.0,40,0.055452001368496595
sim36_N10,Allo1_S080W070.hist_Ks_hist_fit2.0,80,-0.0011013365990401036
sim36_N10,Allo3_S060W010.hist_Ks_hist_fit2.0,60,0.05828362715729807
sim36_N10,Allo5_S040W035.hist_Ks_hist_fit2.0,40,0.07335556775238544
sim36_N10,Allo3_S060W055.hist_Ks_hist_fit2.0,60,0.00029539699198033453
sim36_N10,Allo8_S010W005.hist_Ks_hist_fit2.0,10,0.08520647248761448
sim36_N10,Allo6_S030W020.hist_Ks_hist_fit2.0,30,0.07228940892346336
sim36_N10,Allo2_S070W065.hist_Ks_hist_fit2.0,70,0.04792645658716577
sim36_N10,Auto1_S080W080.hist_Ks_hist_fit2.0,80,-0.0002667517048495771
sim36_N10,Auto2_S070W070.hist_Ks_hist_fit2.0,70,0.010830207002362924
sim36_N10,Auto3_S060W060.hist_Ks_hist_fit2.0,60,-7.875511815169656e-05
sim36_N10,Auto8_S010W010.hist_Ks_hist_fit2.0,10,0.0005310043302697992
sim36_N10,Auto6_S030W030.hist_Ks_hist_fit2.0,30,0.003131621037328336
sim36_N10,Auto4_S050W050.hist_Ks_hist_fit2.0,50,0.003097657927592201
sim36_N10,Auto5_S040W040.hist_Ks_hist_fit2.0,40,0.0010507638912164996
sim36_N10,Auto7_S020W020.hist_Ks_hist_fit2.0,20,-9.73765724909259e-05
sim37_N20,Allo6_S030W010.hist_Ks_hist_fit2.0,30,0.1987267643793192
sim37_N20,Allo4_S050W040.hist_Ks_hist_fit2.0,50,0.13712875316315631
sim37_N20,Allo2_S070W020.hist_Ks_hist_fit2.0,70,0.12568224650182402
sim37_N20,Allo2_S070W060.hist_Ks_hist_fit2.0,70,0.11392572644164456
sim37_N20,Allo1_S080W060.hist_Ks_hist_fit2.0,80,0.11915314023283363
